Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,69.8080055421157,55,802,8661.99679239238,Non-binary,58,7,96,4,Carrier B,2.9565721394308,Supplier 3,Mumbai,29,215,29,46.2798792405083,Pending,0.226410360849925,Road,Route B,187.752075459203
skincare,SKU1,14.8435232750843,95,736,7460.90006544584,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.8540680263887,Road,Route B,503.065579149669
skincare,SKU3,61.1633430164377,68,83,7766.83642568523,Non-binary,23,13,59,6,Carrier C,1.72956856354342,Supplier 5,Kolkata,24,937,18,35.624741397125,Fail,4.74664862064775,Rail,Route A,254.776159219286
skincare,SKU4,4.80549603634589,26,871,2686.50515156744,Non-binary,5,3,56,8,Carrier A,3.89054791587067,Supplier 1,Delhi,5,414,3,92.0651605987128,Fail,3.145579522833,Air,Route A,923.440631711922
haircare,SKU5,1.69997601386593,87,147,2828.34874597575,Non-binary,90,27,66,3,Carrier B,4.44409886438229,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.77919351157116,Road,Route A,235.461236735537
skincare,SKU6,4.07833286310794,48,65,7823.47655953173,Male,11,15,58,8,Carrier C,3.880763302952,Supplier 3,Kolkata,14,314,24,1.08506856958706,Pending,1.00091061930413,Sea,Route A,134.369096861031
cosmetics,SKU7,42.95838438246,59,426,8496.10381308983,Female,93,17,11,1,Carrier B,2.34833878441778,Supplier 4,Bangalore,22,564,1,99.4661086035991,Fail,0.39817718685065,Road,Route C,802.056311817558
cosmetics,SKU8,68.7175967485273,78,150,7517.36321063112,Female,5,10,15,7,Carrier C,3.40473385708302,Supplier 4,Mumbai,13,769,8,11.4230271395656,Pending,2.70986269110996,Sea,Route B,505.557134225464
skincare,SKU10,15.7077956819121,11,996,2330.96580209194,Non-binary,51,13,80,2,Carrier C,8.67321121127861,Supplier 5,Kolkata,18,830,5,96.5273527853109,Pass,1.72731392835594,Road,Route B,806.103177702923
skincare,SKU11,90.6354599822886,95,960,6099.94411558145,Female,46,23,60,1,Carrier A,4.52394312431666,Supplier 2,Kolkata,28,362,11,27.5923630866636,Pending,0.0211698213729943,Air,Route A,126.723033409407
skincare,SKU13,16.1603933173799,5,249,4052.73841623786,Male,80,8,48,9,Carrier A,9.53728306110833,Supplier 5,Bangalore,23,173,10,97.8290501101732,Pending,1.63107423007153,Road,Route B,547.241005160968
skincare,SKU14,99.1713286386241,26,562,8653.5709264698,Non-binary,54,29,78,5,Carrier B,2.03977018944933,Supplier 1,Kolkata,25,558,14,5.79143662986298,Pending,0.100682851565093,Air,Route B,929.235289960889
skincare,SKU15,36.9892449286269,94,469,5442.08678539767,Non-binary,9,8,69,7,Carrier B,2.4220397232752,Supplier 1,Bangalore,14,580,7,97.1212817514743,Pass,2.26440576119854,Sea,Route B,127.861800001625
